id;year;month;municipality_code_ibge;municipality_name;dengue_cases;estimated_population;rainfall_mm;average_temperature;average_humidity
393;2024;9;3127701;Governador Valadares;389;266561;3.1;26.6;52.9
394;2024;10;3127701;Governador Valadares;275;266561;184.2;26.3;67.2
395;2024;11;3127701;Governador Valadares;135;266561;206.9;25.3;76.3
396;2024;12;3127701;Governador Valadares;125;266561;209.5;26.0;80.5
397;2024;12;3127701;Governador Valadares;31;266561;209.5;26.0;80.5
398;2025;1;3127701;Governador Valadares;237;266561;354.0;26.1;79.7
399;2025;2;3127701;Governador Valadares;218;266561;25.1;28.6;60.3
400;2025;3;3127701;Governador Valadares;333;266561;89.8;27.8;65.8
401;2025;4;3127701;Governador Valadares;232;266561;121.5;26.2;71.2
402;2025;5;3127701;Governador Valadares;387;266561;24.5;23.6;74.5
403;2025;6;3127701;Governador Valadares;139;266561;15.9;22.1;73.2
404;2025;7;3127701;Governador Valadares;37;266561;5.9;21.6;66.9
405;2025;8;3127701;Governador Valadares;68;266561;6.5;22.9;61.4
406;2025;9;3127701;Governador Valadares;218;266561;34.4;24.7;57.9
407;2025;10;3127701;Governador Valadares;143;266561;147.0;25.6;60.4
409;2015;1;3136702;Juiz de Fora;18;567730;151.7;24.1;72.4
410;2015;2;3136702;Juiz de Fora;60;567730;224.6;22.9;79.4
411;2015;3;3136702;Juiz de Fora;554;567730;223.0;22.2;82.3
412;2015;4;3136702;Juiz de Fora;1955;567730;29.2;20.5;80.2
413;2015;5;3136702;Juiz de Fora;1539;567730;56.5;18.2;82.1
414;2015;6;3136702;Juiz de Fora;251;567730;19.2;17.1;81.0
415;2015;7;3136702;Juiz de Fora;54;567730;52.7;17.9;79.2
416;2015;8;3136702;Juiz de Fora;23;567730;16.1;18.1;73.7
417;2015;9;3136702;Juiz de Fora;29;567730;126.9;20.7;75.5
418;2015;10;3136702;Juiz de Fora;24;567730;82.4;22.2;71.9
419;2015;11;3136702;Juiz de Fora;107;567730;332.3;23.0;82.5
420;2015;12;3136702;Juiz de Fora;361;567730;333.9;23.2;80.7
421;2016;1;3136702;Juiz de Fora;3975;567730;345.6;22.5;82.1
422;2016;2;3136702;Juiz de Fora;10568;567730;234.7;24.0;77.7
423;2016;3;3136702;Juiz de Fora;9595;567730;140.5;22.8;81.0
424;2016;4;3136702;Juiz de Fora;8000;567730;49.2;22.1;75.3
425;2016;5;3136702;Juiz de Fora;2413;567730;18.6;18.6;80.0
426;2016;6;3136702;Juiz de Fora;88;567730;62.5;16.3;82.4
427;2016;7;3136702;Juiz de Fora;37;567730;5.4;17.0;75.7
428;2016;8;3136702;Juiz de Fora;22;567730;23.7;18.4;71.1
429;2016;9;3136702;Juiz de Fora;14;567730;69.0;19.9;72.7
430;2016;10;3136702;Juiz de Fora;30;567730;111.1;20.2;79.6
431;2016;11;3136702;Juiz de Fora;48;567730;346.2;20.8;81.0
432;2016;12;3136702;Juiz de Fora;164;567730;290.5;22.9;78.0
433;2017;1;3136702;Juiz de Fora;66;567730;127.0;23.6;77.5
434;2017;2;3136702;Juiz de Fora;47;567730;134.8;22.8;78.2
435;2017;3;3136702;Juiz de Fora;28;567730;152.6;21.6;80.4
436;2017;4;3136702;Juiz de Fora;23;567730;40.6;20.0;82.7
437;2017;5;3136702;Juiz de Fora;10;567730;77.9;18.1;83.9
438;2017;6;3136702;Juiz de Fora;5;567730;27.8;17.7;80.5
439;2017;7;3136702;Juiz de Fora;5;567730;5.8;15.6;79.8
440;2017;8;3136702;Juiz de Fora;6;567730;18.5;16.9;77.1
441;2017;9;3136702;Juiz de Fora;15;567730;11.5;19.3;67.9
442;2017;10;3136702;Juiz de Fora;25;567730;78.4;21.8;71.1
443;2017;11;3136702;Juiz de Fora;15;567730;165.7;20.5;78.5
444;2017;12;3136702;Juiz de Fora;26;567730;189.6;22.0;82.3
445;2017;12;3136702;Juiz de Fora;10;567730;189.6;22.0;82.3
446;2018;1;3136702;Juiz de Fora;32;567730;143.5;22.9;78.9
447;2018;2;3136702;Juiz de Fora;23;567730;185.5;21.9;83.3
448;2018;3;3136702;Juiz de Fora;40;567730;176.5;22.8;83.4
449;2018;4;3136702;Juiz de Fora;50;567730;75.5;20.1;83.2
450;2018;5;3136702;Juiz de Fora;22;567730;29.3;18.3;81.2
451;2018;6;3136702;Juiz de Fora;9;567730;16.9;18.3;80.6
452;2018;7;3136702;Juiz de Fora;7;567730;20.0;17.7;75.9
453;2018;8;3136702;Juiz de Fora;3;567730;76.7;17.1;82.5
454;2018;9;3136702;Juiz de Fora;13;567730;54.3;19.4;78.6
455;2018;10;3136702;Juiz de Fora;11;567730;108.9;20.5;82.9
456;2018;11;3136702;Juiz de Fora;11;567730;275.7;20.5;84.7
457;2018;12;3136702;Juiz de Fora;27;567730;167.1;22.3;80.2
458;2018;12;3136702;Juiz de Fora;7;567730;167.1;22.3;80.2
459;2019;1;3136702;Juiz de Fora;89;567730;64.4;24.6;73.1
460;2019;2;3136702;Juiz de Fora;236;567730;173.2;23.3;79.4
461;2019;3;3136702;Juiz de Fora;1160;567730;151.7;22.4;83.6
462;2019;4;3136702;Juiz de Fora;2070;567730;49.1;21.8;81.7
463;2019;5;3136702;Juiz de Fora;3187;567730;49.2;20.1;81.0
464;2019;6;3136702;Juiz de Fora;1065;567730;4.5;18.2;79.3
465;2019;7;3136702;Juiz de Fora;88;567730;8.6;16.6;74.2
466;2019;8;3136702;Juiz de Fora;27;567730;25.7;17.3;76.3
467;2019;9;3136702;Juiz de Fora;24;567730;57.0;20.5;71.5
468;2019;10;3136702;Juiz de Fora;33;567730;87.5;21.1;78.7
469;2019;11;3136702;Juiz de Fora;17;567730;160.2;21.1;82.4
470;2019;12;3136702;Juiz de Fora;26;567730;150.2;22.0;81.7
471;2019;12;3136702;Juiz de Fora;6;567730;150.2;22.0;81.7
472;2020;1;3136702;Juiz de Fora;40;567730;246.4;22.9;83.3
473;2020;2;3136702;Juiz de Fora;49;567730;332.4;22.2;85.1
474;2020;3;3136702;Juiz de Fora;50;567730;157.6;21.0;83.8
475;2020;4;3136702;Juiz de Fora;40;567730;53.1;19.6;82.6
476;2020;5;3136702;Juiz de Fora;28;567730;38.0;17.5;77.5
477;2020;6;3136702;Juiz de Fora;18;567730;14.2;18.3;78.0
478;2020;7;3136702;Juiz de Fora;20;567730;16.6;18.1;76.4
479;2020;8;3136702;Juiz de Fora;13;567730;22.8;17.7;74.2
480;2020;9;3136702;Juiz de Fora;17;567730;34.5;21.6;66.0
481;2020;10;3136702;Juiz de Fora;14;567730;75.2;21.0;78.9
482;2020;11;3136702;Juiz de Fora;20;567730;221.6;20.5;83.3
483;2020;12;3136702;Juiz de Fora;14;567730;296.1;22.5;83.1
484;2021;1;3136702;Juiz de Fora;22;567730;202.0;23.1;76.0
485;2021;2;3136702;Juiz de Fora;20;567730;296.8;22.1;82.5
486;2021;3;3136702;Juiz de Fora;25;567730;114.0;22.5;79.3
487;2021;4;3136702;Juiz de Fora;12;567730;70.4;19.2;79.9
488;2021;5;3136702;Juiz de Fora;28;567730;29.8;18.4;79.1
489;2021;6;3136702;Juiz de Fora;12;567730;18.0;16.7;83.0
490;2021;7;3136702;Juiz de Fora;3;567730;8.1;15.3;73.5
491;2021;8;3136702;Juiz de Fora;9;567730;25.4;17.9;72.7
492;2021;9;3136702;Juiz de Fora;9;567730;18.3;20.9;72.3
493;2021;10;3136702;Juiz de Fora;4;567730;236.9;19.5;84.6
494;2021;11;3136702;Juiz de Fora;10;567730;207.3;19.9;80.4
495;2021;12;3136702;Juiz de Fora;1;567730;357.6;20.7;84.6
496;2022;1;3136702;Juiz de Fora;23;567730;285.6;22.4;81.9
497;2022;2;3136702;Juiz de Fora;7;567730;385.5;21.8;85.6
498;2022;3;3136702;Juiz de Fora;31;567730;43.5;22.9;73.8
499;2022;4;3136702;Juiz de Fora;46;567730;65.1;20.6;80.2
500;2022;5;3136702;Juiz de Fora;53;567730;29.3;17.8;74.6
501;2022;6;3136702;Juiz de Fora;16;567730;10.5;16.7;78.0
502;2022;7;3136702;Juiz de Fora;3;567730;5.3;17.5;72.7
503;2022;8;3136702;Juiz de Fora;8;567730;11.2;17.3;72.2
504;2022;9;3136702;Juiz de Fora;5;567730;100.3;18.0;76.0
505;2022;10;3136702;Juiz de Fora;13;567730;128.3;21.0;79.4
506;2022;11;3136702;Juiz de Fora;12;567730;217.5;19.3;83.3
507;2022;12;3136702;Juiz de Fora;12;567730;257.0;20.9;84.3
508;2023;1;3136702;Juiz de Fora;51;567730;306.7;21.8;84.4
509;2023;2;3136702;Juiz de Fora;133;567730;202.5;23.0;81.0
510;2023;3;3136702;Juiz de Fora;414;567730;63.8;22.5;79.2
511;2023;4;3136702;Juiz de Fora;1004;567730;88.9;20.1;81.9
512;2023;5;3136702;Juiz de Fora;561;567730;15.2;17.9;81.0
513;2023;6;3136702;Juiz de Fora;166;567730;19.6;17.0;74.9
514;2023;7;3136702;Juiz de Fora;49;567730;12.6;16.8;78.3
515;2023;8;3136702;Juiz de Fora;34;567730;50.9;18.7;74.8
516;2023;9;3136702;Juiz de Fora;44;567730;24.1;21.1;70.7
517;2023;10;3136702;Juiz de Fora;63;567730;187.2;22.0;81.5
518;2023;11;3136702;Juiz de Fora;87;567730;108.1;23.2;73.9
519;2023;12;3136702;Juiz de Fora;118;567730;97.6;23.0;78.7
520;2023;12;3136702;Juiz de Fora;145;567730;97.6;23.0;78.7
521;2024;1;3136702;Juiz de Fora;1303;567730;225.7;22.8;83.3
522;2024;2;3136702;Juiz de Fora;3798;567730;241.4;22.8;83.2
523;2024;3;3136702;Juiz de Fora;6749;567730;188.3;22.7;83.7
524;2024;4;3136702;Juiz de Fora;6678;567730;14.4;21.3;78.7
525;2024;5;3136702;Juiz de Fora;5329;567730;10.8;20.5;74.9
526;2024;6;3136702;Juiz de Fora;1309;567730;2.0;18.2;73.6
527;2024;7;3136702;Juiz de Fora;229;567730;6.0;17.6;74.6
528;2024;8;3136702;Juiz de Fora;64;567730;22.6;17.8;68.6
529;2024;9;3136702;Juiz de Fora;77;567730;19.8;21.4;66.2
530;2024;10;3136702;Juiz de Fora;34;567730;114.8;20.9;77.5
531;2024;11;3136702;Juiz de Fora;46;567730;222.9;21.1;81.4
532;2024;12;3136702;Juiz de Fora;65;567730;205.2;22.3;83.3
533;2024;12;3136702;Juiz de Fora;20;567730;205.2;22.3;83.3
534;2025;1;3136702;Juiz de Fora;217;567730;240.6;22.7;82.9
535;2025;2;3136702;Juiz de Fora;495;567730;17.3;24.4;69.7
536;2025;3;3136702;Juiz de Fora;1269;567730;158.2;22.5;81.6
537;2025;4;3136702;Juiz de Fora;1164;567730;92.1;20.3;85.2
538;2025;5;3136702;Juiz de Fora;865;567730;15.4;18.4;80.9
539;2025;6;3136702;Juiz de Fora;487;567730;11.5;17.2;79.8
540;2025;7;3136702;Juiz de Fora;85;567730;17.7;15.8;77.5
541;2025;8;3136702;Juiz de Fora;66;567730;17.6;17.2;75.7
542;2025;9;3136702;Juiz de Fora;64;567730;37.6;18.7;75.7
543;2025;10;3136702;Juiz de Fora;26;567730;71.8;19.9;74.6
545;2015;1;3143302;Montes Claros;20;437601;3.2;27.6;45.0
546;2015;2;3143302;Montes Claros;20;437601;141.1;25.1;64.4
547;2015;3;3143302;Montes Claros;139;437601;69.2;25.5;64.3
548;2015;4;3143302;Montes Claros;312;437601;33.8;24.8;64.7
549;2015;5;3143302;Montes Claros;686;437601;3.7;22.9;62.3
550;2015;6;3143302;Montes Claros;314;437601;0.6;22.2;58.4
551;2015;7;3143302;Montes Claros;88;437601;0.8;22.5;54.8
552;2015;8;3143302;Montes Claros;41;437601;0.9;22.8;50.0
553;2015;9;3143302;Montes Claros;19;437601;0.2;27.8;35.0
554;2015;10;3143302;Montes Claros;14;437601;18.3;28.2;40.1
555;2015;11;3143302;Montes Claros;66;437601;79.6;27.7;54.3
556;2015;12;3143302;Montes Claros;133;437601;25.1;27.8;50.8
557;2016;1;3143302;Montes Claros;952;437601;286.4;23.9;79.9
558;2016;2;3143302;Montes Claros;1359;437601;7.0;26.5;58.2
559;2016;3;3143302;Montes Claros;502;437601;16.0;26.8;55.7
560;2016;4;3143302;Montes Claros;97;437601;0.6;26.8;48.3
561;2016;5;3143302;Montes Claros;6;437601;0.4;24.5;53.7
562;2016;6;3143302;Montes Claros;4;437601;2.6;22.6;55.1
563;2016;7;3143302;Montes Claros;6;437601;1.0;22.7;51.3
564;2016;8;3143302;Montes Claros;6;437601;4.0;24.0;48.7
565;2016;9;3143302;Montes Claros;6;437601;9.5;26.1;43.1
566;2016;10;3143302;Montes Claros;20;437601;79.1;25.8;54.9
567;2016;11;3143302;Montes Claros;29;437601;205.2;24.2;70.1
568;2016;12;3143302;Montes Claros;35;437601;149.3;24.6;70.7
569;2017;1;3143302;Montes Claros;58;437601;31.8;26.2;55.5
570;2017;2;3143302;Montes Claros;23;437601;114.1;24.2;71.5
571;2017;3;3143302;Montes Claros;19;437601;55.2;25.4;60.9
572;2017;4;3143302;Montes Claros;41;437601;4.3;24.6;61.6
573;2017;5;3143302;Montes Claros;17;437601;22.8;22.9;63.3
574;2017;6;3143302;Montes Claros;6;437601;1.7;21.9;58.0
575;2017;7;3143302;Montes Claros;2;437601;1.7;19.4;58.2
576;2017;8;3143302;Montes Claros;1;437601;0.1;22.2;47.7
577;2017;9;3143302;Montes Claros;3;437601;1.1;22.6;50.2
578;2017;10;3143302;Montes Claros;3;437601;36.5;26.0;47.3
579;2017;11;3143302;Montes Claros;10;437601;110.3;23.9;71.0
580;2017;12;3143302;Montes Claros;14;437601;233.9;23.8;75.6
581;2017;12;3143302;Montes Claros;9;437601;233.9;23.8;75.6
582;2018;1;3143302;Montes Claros;36;437601;56.5;25.1;63.8
583;2018;2;3143302;Montes Claros;69;437601;291.2;23.7;77.1
584;2018;3;3143302;Montes Claros;83;437601;113.4;24.3;75.3
585;2018;4;3143302;Montes Claros;261;437601;21.4;23.0;69.0
586;2018;5;3143302;Montes Claros;183;437601;10.7;21.9;64.4
587;2018;6;3143302;Montes Claros;109;437601;0.2;21.5;62.1
588;2018;7;3143302;Montes Claros;80;437601;1.1;20.7;55.9
589;2018;8;3143302;Montes Claros;33;437601;6.2;23.2;52.7
590;2018;9;3143302;Montes Claros;18;437601;2.9;24.9;46.8
591;2018;10;3143302;Montes Claros;31;437601;78.8;26.1;58.3
592;2018;11;3143302;Montes Claros;34;437601;102.9;23.7;71.8
593;2018;12;3143302;Montes Claros;27;437601;224.2;23.7;75.0
594;2018;12;3143302;Montes Claros;25;437601;224.2;23.7;75.0
595;2019;1;3143302;Montes Claros;339;437601;1.9;25.8;56.8
596;2019;2;3143302;Montes Claros;430;437601;80.0;25.8;66.2
597;2019;3;3143302;Montes Claros;1173;437601;83.7;25.0;70.2
598;2019;4;3143302;Montes Claros;2244;437601;18.7;24.9;69.2
599;2019;5;3143302;Montes Claros;4298;437601;9.0;24.1;62.9
600;2019;6;3143302;Montes Claros;938;437601;1.9;21.8;58.8
601;2019;7;3143302;Montes Claros;122;437601;0.3;21.0;52.2
602;2019;8;3143302;Montes Claros;28;437601;2.1;22.6;52.4
603;2019;9;3143302;Montes Claros;57;437601;4.7;25.3;45.8
604;2019;10;3143302;Montes Claros;30;437601;48.3;26.6;48.0
605;2019;11;3143302;Montes Claros;30;437601;99.5;26.8;56.3
606;2019;12;3143302;Montes Claros;40;437601;97.7;25.7;63.3
607;2019;12;3143302;Montes Claros;14;437601;97.7;25.7;63.3
608;2020;1;3143302;Montes Claros;85;437601;304.7;24.7;74.2
609;2020;2;3143302;Montes Claros;96;437601;98.2;24.8;75.4
610;2020;3;3143302;Montes Claros;147;437601;198.5;23.3;79.6
611;2020;4;3143302;Montes Claros;62;437601;62.0;22.8;76.7
612;2020;5;3143302;Montes Claros;95;437601;17.0;20.6;71.3
613;2020;6;3143302;Montes Claros;58;437601;2.2;20.1;66.4
614;2020;7;3143302;Montes Claros;76;437601;0.6;20.6;59.1
615;2020;8;3143302;Montes Claros;75;437601;1.5;21.6;54.4
616;2020;9;3143302;Montes Claros;49;437601;2.1;24.8;43.4
617;2020;10;3143302;Montes Claros;43;437601;113.6;26.2;56.9
618;2020;11;3143302;Montes Claros;76;437601;97.1;23.5;71.7
619;2020;12;3143302;Montes Claros;39;437601;109.4;24.7;67.0
620;2021;1;3143302;Montes Claros;63;437601;46.7;25.8;57.6
621;2021;2;3143302;Montes Claros;100;437601;201.3;23.7;77.3
622;2021;3;3143302;Montes Claros;157;437601;37.7;23.6;68.2
623;2021;4;3143302;Montes Claros;72;437601;26.8;22.9;67.2
624;2021;5;3143302;Montes Claros;49;437601;0.7;21.8;60.8
625;2021;6;3143302;Montes Claros;29;437601;1.6;20.7;59.7
626;2021;7;3143302;Montes Claros;21;437601;0.2;20.2;51.5
627;2021;8;3143302;Montes Claros;53;437601;0.2;21.3;50.7
628;2021;9;3143302;Montes Claros;27;437601;1.9;26.0;40.4
629;2021;10;3143302;Montes Claros;28;437601;112.7;25.4;61.1
630;2021;11;3143302;Montes Claros;43;437601;289.4;23.0;77.4
631;2021;12;3143302;Montes Claros;46;437601;306.6;23.1;81.4
632;2022;1;3143302;Montes Claros;242;437601;201.8;23.6;76.2
633;2022;2;3143302;Montes Claros;449;437601;193.3;23.5;78.8
634;2022;3;3143302;Montes Claros;1984;437601;3.7;24.6;62.6
635;2022;4;3143302;Montes Claros;2751;437601;40.9;24.1;62.3
636;2022;5;3143302;Montes Claros;2957;437601;5.2;21.2;59.9
637;2022;6;3143302;Montes Claros;946;437601;0.0;20.4;55.6
638;2022;7;3143302;Montes Claros;363;437601;0.6;20.7;55.7
639;2022;8;3143302;Montes Claros;149;437601;0.5;22.2;46.7
640;2022;9;3143302;Montes Claros;126;437601;11.6;24.5;47.8
641;2022;10;3143302;Montes Claros;170;437601;42.5;25.6;53.5
642;2022;11;3143302;Montes Claros;230;437601;293.7;23.0;73.3
643;2022;12;3143302;Montes Claros;401;437601;328.5;22.8;80.8
644;2023;1;3143302;Montes Claros;5618;437601;196.3;23.2;79.3
645;2023;2;3143302;Montes Claros;11942;437601;4.0;25.2;62.4
646;2023;3;3143302;Montes Claros;5481;437601;10.2;25.0;58.9
647;2023;4;3143302;Montes Claros;1557;437601;52.7;24.8;62.4
648;2023;5;3143302;Montes Claros;546;437601;0.4;22.1;60.7
649;2023;6;3143302;Montes Claros;195;437601;0.1;21.0;58.0
650;2023;7;3143302;Montes Claros;158;437601;6.5;21.7;53.1
651;2023;8;3143302;Montes Claros;103;437601;70.2;23.4;52.1
652;2023;9;3143302;Montes Claros;125;437601;1.6;25.9;48.2
653;2023;10;3143302;Montes Claros;217;437601;69.4;27.2;52.9
654;2023;11;3143302;Montes Claros;363;437601;28.2;28.4;45.0
655;2023;12;3143302;Montes Claros;405;437601;75.4;27.1;55.9
656;2023;12;3143302;Montes Claros;230;437601;75.4;27.1;55.9
657;2024;1;3143302;Montes Claros;2417;437601;251.4;24.8;75.8
658;2024;2;3143302;Montes Claros;8863;437601;322.3;24.0;77.0
659;2024;3;3143302;Montes Claros;14202;437601;29.3;25.9;69.4
660;2024;4;3143302;Montes Claros;5211;437601;24.4;23.8;70.8
661;2024;5;3143302;Montes Claros;1898;437601;0.5;22.7;64.4
662;2024;6;3143302;Montes Claros;572;437601;1.0;21.2;61.0
663;2024;7;3143302;Montes Claros;231;437601;0.1;20.8;54.5
664;2024;8;3143302;Montes Claros;177;437601;0.4;22.8;48.9
665;2024;9;3143302;Montes Claros;263;437601;0.0;25.4;40.1
666;2024;10;3143302;Montes Claros;280;437601;76.4;26.1;58.8
667;2024;11;3143302;Montes Claros;549;437601;282.6;23.7;75.9
668;2024;12;3143302;Montes Claros;625;437601;104.9;24.5;76.7
669;2024;12;3143302;Montes Claros;135;437601;104.9;24.5;76.7
670;2025;1;3143302;Montes Claros;716;437601;276.4;24.4;78.5
671;2025;2;3143302;Montes Claros;678;437601;7.5;25.9;59.0
672;2025;3;3143302;Montes Claros;616;437601;45.7;26.2;60.3
673;2025;4;3143302;Montes Claros;382;437601;103.5;24.8;69.2
674;2025;5;3143302;Montes Claros;379;437601;2.5;22.6;63.3
675;2025;6;3143302;Montes Claros;313;437601;4.7;21.7;59.6
676;2025;7;3143302;Montes Claros;176;437601;0.9;21.2;52.4
677;2025;8;3143302;Montes Claros;298;437601;0.0;22.7;47.4
678;2025;9;3143302;Montes Claros;286;437601;4.7;24.7;45.2
679;2025;10;3143302;Montes Claros;245;437601;54.4;25.0;51.5
681;2015;1;3154606;Ribeiṛo das Neves;19;346971;36.6;25.4;57.1
682;2015;2;3154606;Ribeiṛo das Neves;22;346971;175.9;23.1;73.7
683;2015;3;3154606;Ribeiṛo das Neves;184;346971;80.7;23.1;74.2
684;2015;4;3154606;Ribeiṛo das Neves;438;346971;46.3;21.5;75.3
685;2015;5;3154606;Ribeiṛo das Neves;629;346971;40.3;19.3;75.6
686;2015;6;3154606;Ribeiṛo das Neves;220;346971;7.1;18.7;71.7
687;2015;7;3154606;Ribeiṛo das Neves;63;346971;0.2;19.4;66.9
688;2015;8;3154606;Ribeiṛo das Neves;31;346971;2.8;20.2;59.1
689;2015;9;3154606;Ribeiṛo das Neves;19;346971;25.7;23.8;56.4
690;2015;10;3154606;Ribeiṛo das Neves;26;346971;28.8;25.6;51.3
691;2015;11;3154606;Ribeiṛo das Neves;76;346971;166.5;25.0;67.1
692;2015;12;3154606;Ribeiṛo das Neves;139;346971;102.4;24.0;73.2
693;2016;1;3154606;Ribeiṛo das Neves;1447;346971;306.5;22.8;80.1
694;2016;2;3154606;Ribeiṛo das Neves;4006;346971;43.3;24.4;69.1
695;2016;3;3154606;Ribeiṛo das Neves;4087;346971;59.7;23.6;72.1
696;2016;4;3154606;Ribeiṛo das Neves;2341;346971;47.8;23.6;62.6
697;2016;5;3154606;Ribeiṛo das Neves;556;346971;10.7;20.2;72.6
698;2016;6;3154606;Ribeiṛo das Neves;43;346971;12.4;18.3;72.7
699;2016;7;3154606;Ribeiṛo das Neves;27;346971;0.0;19.4;62.1
700;2016;8;3154606;Ribeiṛo das Neves;9;346971;5.2;20.8;56.3
701;2016;9;3154606;Ribeiṛo das Neves;173;346971;41.2;22.6;57.6
702;2016;10;3154606;Ribeiṛo das Neves;213;346971;41.1;23.4;62.6
703;2016;11;3154606;Ribeiṛo das Neves;27;346971;202.1;22.1;75.6
704;2016;12;3154606;Ribeiṛo das Neves;53;346971;233.1;22.8;76.4
705;2017;1;3154606;Ribeiṛo das Neves;69;346971;56.9;24.1;67.3
706;2017;2;3154606;Ribeiṛo das Neves;91;346971;119.3;23.0;74.1
707;2017;3;3154606;Ribeiṛo das Neves;70;346971;70.9;22.9;70.4
708;2017;4;3154606;Ribeiṛo das Neves;63;346971;24.0;21.9;71.8
709;2017;5;3154606;Ribeiṛo das Neves;28;346971;43.9;19.6;77.0
710;2017;6;3154606;Ribeiṛo das Neves;17;346971;10.4;18.7;72.6
711;2017;7;3154606;Ribeiṛo das Neves;15;346971;1.8;16.6;68.6
712;2017;8;3154606;Ribeiṛo das Neves;8;346971;1.6;19.6;59.6
713;2017;9;3154606;Ribeiṛo das Neves;19;346971;8.7;20.3;57.9
714;2017;10;3154606;Ribeiṛo das Neves;16;346971;53.3;23.2;60.9
715;2017;11;3154606;Ribeiṛo das Neves;13;346971;140.0;21.6;78.0
716;2017;12;3154606;Ribeiṛo das Neves;13;346971;182.5;22.7;79.6
717;2017;12;3154606;Ribeiṛo das Neves;5;346971;182.5;22.7;79.6
718;2018;1;3154606;Ribeiṛo das Neves;23;346971;163.9;23.5;70.6
719;2018;2;3154606;Ribeiṛo das Neves;42;346971;187.2;22.3;81.3
720;2018;3;3154606;Ribeiṛo das Neves;37;346971;140.3;22.9;80.8
721;2018;4;3154606;Ribeiṛo das Neves;55;346971;48.3;20.7;77.8
722;2018;5;3154606;Ribeiṛo das Neves;34;346971;29.9;19.0;73.1
723;2018;6;3154606;Ribeiṛo das Neves;15;346971;4.4;19.1;73.6
724;2018;7;3154606;Ribeiṛo das Neves;8;346971;2.8;18.4;67.1
725;2018;8;3154606;Ribeiṛo das Neves;13;346971;36.5;19.3;70.7
726;2018;9;3154606;Ribeiṛo das Neves;17;346971;61.6;21.4;66.0
727;2018;10;3154606;Ribeiṛo das Neves;13;346971;97.4;22.9;72.3
728;2018;11;3154606;Ribeiṛo das Neves;15;346971;219.9;21.4;80.3
729;2018;12;3154606;Ribeiṛo das Neves;20;346971;212.9;22.6;78.6
730;2018;12;3154606;Ribeiṛo das Neves;6;346971;212.9;22.6;78.6
731;2019;1;3154606;Ribeiṛo das Neves;138;346971;24.5;24.5;65.4
732;2019;2;3154606;Ribeiṛo das Neves;410;346971;160.0;23.9;75.3
733;2019;3;3154606;Ribeiṛo das Neves;2162;346971;88.7;23.2;76.9
734;2019;4;3154606;Ribeiṛo das Neves;3987;346971;34.6;22.7;74.9
735;2019;5;3154606;Ribeiṛo das Neves;3049;346971;36.6;21.0;76.4
736;2019;6;3154606;Ribeiṛo das Neves;723;346971;0.6;18.9;69.2
737;2019;7;3154606;Ribeiṛo das Neves;31;346971;0.1;17.9;62.2
738;2019;8;3154606;Ribeiṛo das Neves;78;346971;7.1;19.9;62.0
739;2019;9;3154606;Ribeiṛo das Neves;51;346971;47.9;23.0;57.2
740;2019;10;3154606;Ribeiṛo das Neves;58;346971;76.5;23.7;60.7
741;2019;11;3154606;Ribeiṛo das Neves;52;346971;214.9;23.2;74.6
742;2019;12;3154606;Ribeiṛo das Neves;321;346971;213.2;22.8;77.9
743;2019;12;3154606;Ribeiṛo das Neves;8;346971;213.2;22.8;77.9
744;2020;1;3154606;Ribeiṛo das Neves;38;346971;319.3;23.5;81.9
745;2020;2;3154606;Ribeiṛo das Neves;71;346971;198.8;22.9;83.0
746;2020;3;3154606;Ribeiṛo das Neves;124;346971;197.0;21.8;80.4
747;2020;4;3154606;Ribeiṛo das Neves;87;346971;94.1;20.8;79.8
748;2020;5;3154606;Ribeiṛo das Neves;88;346971;46.9;18.1;75.2
749;2020;6;3154606;Ribeiṛo das Neves;54;346971;5.4;18.6;72.2
750;2020;7;3154606;Ribeiṛo das Neves;26;346971;2.0;18.8;70.1
751;2020;8;3154606;Ribeiṛo das Neves;22;346971;14.6;18.7;65.1
752;2020;9;3154606;Ribeiṛo das Neves;16;346971;5.9;22.8;53.7
753;2020;10;3154606;Ribeiṛo das Neves;16;346971;170.7;23.1;69.2
754;2020;11;3154606;Ribeiṛo das Neves;39;346971;105.5;21.9;75.4
755;2020;12;3154606;Ribeiṛo das Neves;32;346971;187.3;22.9;77.4
756;2021;1;3154606;Ribeiṛo das Neves;36;346971;129.8;23.3;70.5
757;2021;2;3154606;Ribeiṛo das Neves;50;346971;267.2;22.3;81.4
758;2021;3;3154606;Ribeiṛo das Neves;45;346971;61.8;22.7;74.0
759;2021;4;3154606;Ribeiṛo das Neves;26;346971;25.0;20.9;68.8
760;2021;5;3154606;Ribeiṛo das Neves;18;346971;3.0;20.0;69.0
761;2021;6;3154606;Ribeiṛo das Neves;8;346971;4.8;18.4;71.8
762;2021;7;3154606;Ribeiṛo das Neves;21;346971;0.0;17.0;59.9
763;2021;8;3154606;Ribeiṛo das Neves;7;346971;2.6;19.3;58.8
764;2021;9;3154606;Ribeiṛo das Neves;18;346971;1.4;23.8;52.8
765;2021;10;3154606;Ribeiṛo das Neves;21;346971;210.7;22.1;74.7
766;2021;11;3154606;Ribeiṛo das Neves;0;346971;351.6;21.5;77.9
