year;month;casos;municipality_code_ibge
2023;10;425;3118601
2023;11;305;3118601
2023;12;263;3118601
2023;12;682;3118601
2024;1;10127;3118601
2024;2;32392;3118601
2024;3;37844;3118601
2024;4;13742;3118601
2024;5;3693;3118601
2024;6;1214;3118601
2024;7;289;3118601
2024;8;180;3118601
2024;9;310;3118601
2024;10;220;3118601
2024;11;493;3118601
2024;12;557;3118601
2024;12;134;3118601
2025;1;1185;3118601
2025;2;1432;3118601
2025;3;1662;3118601
2025;4;1154;3118601
2025;5;732;3118601
2025;6;360;3118601
2025;7;209;3118601
2025;8;276;3118601
2025;9;278;3118601
2025;10;294;3118601
2025;11;31;3118601
2015;1;55;3127701
2015;2;58;3127701
2015;3;105;3127701
2015;4;121;3127701
2015;5;343;3127701
2015;6;196;3127701
2015;7;133;3127701
2015;8;120;3127701
2015;9;64;3127701
2015;10;64;3127701
2015;11;87;3127701
2015;12;202;3127701
2016;1;1016;3127701
2016;2;1038;3127701
2016;3;250;3127701
2016;4;91;3127701
2016;5;32;3127701
2016;6;5;3127701
2016;7;18;3127701
2016;8;12;3127701
2016;9;6;3127701
2016;10;31;3127701
2016;11;42;3127701
2016;12;87;3127701
2017;1;968;3127701
2017;2;1563;3127701
2017;3;704;3127701
2017;4;146;3127701
2017;5;56;3127701
2017;6;9;3127701
2017;7;5;3127701
2017;8;3;3127701
2017;9;10;3127701
2017;10;10;3127701
2017;11;22;3127701
2017;12;34;3127701
2017;12;10;3127701
2018;1;40;3127701
2018;2;45;3127701
2018;3;40;3127701
2018;4;21;3127701
2018;5;19;3127701
2018;6;20;3127701
2018;7;13;3127701
2018;8;16;3127701
2018;9;22;3127701
2018;10;14;3127701
2018;11;18;3127701
2018;12;14;3127701
2018;12;14;3127701
2019;1;24;3127701
2019;2;20;3127701
2019;3;73;3127701
2019;4;116;3127701
2019;5;266;3127701
2019;6;162;3127701
2019;7;86;3127701
2019;8;53;3127701
2019;9;88;3127701
2019;10;51;3127701
2019;11;34;3127701
2019;12;85;3127701
2019;12;24;3127701
2020;1;162;3127701
2020;2;257;3127701
2020;3;252;3127701
2020;4;408;3127701
2020;5;489;3127701
2020;6;248;3127701
2020;7;121;3127701
2020;8;81;3127701
2020;9;63;3127701
2020;10;45;3127701
2020;11;55;3127701
2020;12;27;3127701
2021;1;51;3127701
2021;2;98;3127701
2021;3;247;3127701
2021;4;317;3127701
2021;5;451;3127701
2021;6;174;3127701
2021;7;77;3127701
2021;8;66;3127701
2021;9;39;3127701
2021;10;22;3127701
2021;11;33;3127701
2021;12;52;3127701
2022;1;151;3127701
2022;2;109;3127701
2022;3;231;3127701
2022;4;220;3127701
2022;5;182;3127701
2022;6;142;3127701
2022;7;122;3127701
2022;8;60;3127701
2022;9;57;3127701
2022;10;139;3127701
2022;11;133;3127701
2022;12;111;3127701
2023;1;631;3127701
2023;2;1201;3127701
2023;3;1161;3127701
2023;4;961;3127701
2023;5;602;3127701
2023;6;382;3127701
2023;7;233;3127701
2023;8;82;3127701
2023;9;47;3127701
2023;10;106;3127701
2023;11;77;3127701
2023;12;46;3127701
2023;12;56;3127701
2024;1;820;3127701
2024;2;4104;3127701
2024;3;5075;3127701
2024;4;943;3127701
2024;5;353;3127701
2024;6;186;3127701
2024;7;165;3127701
2024;8;197;3127701
2024;9;389;3127701
2024;10;275;3127701
2024;11;135;3127701
2024;12;125;3127701
2024;12;31;3127701
2025;1;237;3127701
2025;2;218;3127701
2025;3;333;3127701
2025;4;232;3127701
2025;5;387;3127701
2025;6;139;3127701
2025;7;37;3127701
2025;8;68;3127701
2025;9;218;3127701
2025;10;143;3127701
2025;11;1;3127701
2015;1;18;3136702
2015;2;60;3136702
2015;3;554;3136702
2015;4;1955;3136702
2015;5;1539;3136702
2015;6;251;3136702
2015;7;54;3136702
2015;8;23;3136702
2015;9;29;3136702
2015;10;24;3136702
2015;11;107;3136702
2015;12;361;3136702
2016;1;3975;3136702
2016;2;10568;3136702
2016;3;9595;3136702
2016;4;8000;3136702
2016;5;2413;3136702
2016;6;88;3136702
2016;7;37;3136702
2016;8;22;3136702
2016;9;14;3136702
2016;10;30;3136702
2016;11;48;3136702
2016;12;164;3136702
2017;1;66;3136702
2017;2;47;3136702
2017;3;28;3136702
2017;4;23;3136702
2017;5;10;3136702
2017;6;5;3136702
2017;7;5;3136702
2017;8;6;3136702
2017;9;15;3136702
2017;10;25;3136702
2017;11;15;3136702
2017;12;26;3136702
2017;12;10;3136702
2018;1;32;3136702
2018;2;23;3136702
2018;3;40;3136702
2018;4;50;3136702
2018;5;22;3136702
2018;6;9;3136702
2018;7;7;3136702
2018;8;3;3136702
2018;9;13;3136702
2018;10;11;3136702
2018;11;11;3136702
2018;12;27;3136702
2018;12;7;3136702
2019;1;89;3136702
2019;2;236;3136702
2019;3;1160;3136702
2019;4;2070;3136702
2019;5;3187;3136702
2019;6;1065;3136702
2019;7;88;3136702
2019;8;27;3136702
2019;9;24;3136702
2019;10;33;3136702
2019;11;17;3136702
2019;12;26;3136702
2019;12;6;3136702
2020;1;40;3136702
2020;2;49;3136702
2020;3;50;3136702
2020;4;40;3136702
2020;5;28;3136702
2020;6;18;3136702
2020;7;20;3136702
2020;8;13;3136702
2020;9;17;3136702
2020;10;14;3136702
2020;11;20;3136702
2020;12;14;3136702
2021;1;22;3136702
2021;2;20;3136702
2021;3;25;3136702
2021;4;12;3136702
2021;5;28;3136702
2021;6;12;3136702
2021;7;3;3136702
2021;8;9;3136702
2021;9;9;3136702
2021;10;4;3136702
2021;11;10;3136702
2021;12;1;3136702
2022;1;23;3136702
2022;2;7;3136702
2022;3;31;3136702
2022;4;46;3136702
2022;5;53;3136702
2022;6;16;3136702
2022;7;3;3136702
2022;8;8;3136702
2022;9;5;3136702
2022;10;13;3136702
2022;11;12;3136702
2022;12;12;3136702
2023;1;51;3136702
2023;2;133;3136702
2023;3;414;3136702
2023;4;1004;3136702
2023;5;561;3136702
2023;6;166;3136702
2023;7;49;3136702
2023;8;34;3136702
2023;9;44;3136702
2023;10;63;3136702
2023;11;87;3136702
2023;12;118;3136702
2023;12;145;3136702
2024;1;1303;3136702
2024;2;3798;3136702
2024;3;6749;3136702
2024;4;6678;3136702
2024;5;5329;3136702
2024;6;1309;3136702
2024;7;229;3136702
2024;8;64;3136702
2024;9;77;3136702
2024;10;34;3136702
2024;11;46;3136702
2024;12;65;3136702
2024;12;20;3136702
2025;1;217;3136702
2025;2;495;3136702
2025;3;1269;3136702
2025;4;1164;3136702
2025;5;865;3136702
2025;6;487;3136702
2025;7;85;3136702
2025;8;66;3136702
2025;9;64;3136702
2025;10;26;3136702
2025;11;0;3136702
2015;1;20;3143302
2015;2;20;3143302
2015;3;139;3143302
2015;4;312;3143302
2015;5;686;3143302
2015;6;314;3143302
2015;7;88;3143302
2015;8;41;3143302
2015;9;19;3143302
2015;10;14;3143302
2015;11;66;3143302
2015;12;133;3143302
2016;1;952;3143302
2016;2;1359;3143302
2016;3;502;3143302
2016;4;97;3143302
2016;5;6;3143302
2016;6;4;3143302
2016;7;6;3143302
2016;8;6;3143302
